,0
441,lines:   article   writes: here get commericial company space mineral exploration basically get eci-freaks hard get mineral earth  raw material cost enough getting space cost effective entire world economy colapse long space mine could built    allen  --  +---------------------------------------------------------------------------+  lady astor:   sir husband poison coffee     w churchill: madam wife drink it              +---------------------- day first flight dcx-----------------------+ 
442,reply-to:  lines:   according software engineering professor here actually rated level five ibm unit produced part software shuttle mean it   interesting note: % software development group surveyed level  ibm shuttle group only level   --- c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/ c/    nathan f wallace                   c/c/           reality is         c/ c/    e-mail:    c/c/    ancient alphaean proverb    c/ c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/c/     
443,lines:    bake timmons writes:  rule #:  mix apple orange  extermination mongol worse stalin  khan conquered people unsympathetic cause  atrocious  stalin killed million his people loved worshipped him atheist state  anyone worse that  right  david koresh claimed christian   
444,x-newsreader: tin [version  pl] lines:   gene wright  wrote: : announce reward $ billion go first corporation  : successfully keep least  person alive moon year  : see inexpensive popular technology begin  : developed there'd different kind space race then  i'm advocate idea funding space station work throw around $ billion figure reward  suggest increase lunar reward $ billion  encourage private industry invest space  nasa's primary goal  -- ken jenks nasa/jsc/gm space shuttle program office          -       better  faster  cheaper -- daniel s goldin nasa administrator 
445,x-newsreader: tin [version  pl] lines:   joachim lous  wrote: :  wrote:  :  anyone  suggestion  came from  yep here's theory heard bandied around  rather thinking number think sound tea two sort anagram tea two two tea tea two  :-  peter   --    peter hauke @ brunel university  ---------------------------------                
446,lines:     john e king writes:   andy peter writes:   we're talking protein  fact talking protein all since if i'm goint really upset nobodyclaimsthatproteinsappearedde novo the protein form randomly    before repond  andy clarify   state protein form randomly  seems point    well andy familiarized current theories/hypotheses abiogenesis posting :- aware fact none claim protein assembled randomly amino acid current thinking rna- based replicators came proteinaceous enzyme protein assembled kind primitive translation machinery  respond  :- --cornelius --  / cornelius krasel department physiological chemistry u tuebingen    /  / email:                              / / people dna's making dna r dawkins / anonymous     / 
447,x-newsreader: tin [version  pl] lines:   chris herringshaw  wrote: : concerning proposed newsgroup split personally favor : this  learn awful lot aspect graphic reading : group code hardware algorithm  think making  : different group wate result post : week per group  kind like convenience big forum : discussing aspect graphic  anyone else feel way : curious :  :  : daemon :   yes also like knowing go ask question without getting hell putting wrong newsgroup  phil martin 
448,lines:   article   keith allan schneider writes:  what i've saying moral behavior likely null behavior    smell sig material here   /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\   bob beauchaine    said queen could stay blew bronx away sank manhattan sea  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ 
449,lines:   article   george f krumins writes: it typical right minority extinguished want majority matter ridiculous want might be   george  called democracy  majority rule  sorry ytou like it suggest modify constitution include constitutional right dark sky   theory government majority rule  except nature fundamental civil right   really annoyed   get legislation create dark sky zone  light emission protected zone  kind like national radio quiet zone  that  near teh radio telescope  observatory west virginia  mile emcon zone  theoretically prevent running light ac motor like air conditioner vacuum practice mostly  control  large radio user  pat 
450,lines:   brief political/cultural item  radio station wgms washington classical music station large audience among high official elected otherwise   imagine radio station advertises mercedes benzes diamond jewelry expensive resort truthfully trident submarine  morning heard commercial space station project catch advertiser  guess they're pulling stop --  chuck divine 
451,reply-to:  keywords: vga lines:     vesa standard work  documentation vesa standard  vesa standard requested vesa: vesa  north first street suite  san jose ca -  ask vesa vbe super vga programming starndards  vesa also defines local bus standard  vesa standard address way application find info capability specific super vga implementation control video mode selection video memory access  still set pixel    higher resolution xx xx vga mode     video memory a-affff longer sufficient hold     info trick fast image manipulation      heard memory mapping video memory bank switching     nothing implemented   advice anyone    vesa defines window used access video memory window anchored spot write write far window take usually k  window granularity can't anchor  anywhere  also implementation allow two window    interest xx mode  mode called     svga mode  technique fast image scrolling     mode  deal different svga card  vesa mode h  set display start function might useful scrolling     guidance book source question  greatly appreciated  send mail  best bet write vesa info  also announcement group vesa software  --  karl schultz                              statement opinion necessarily ibm 
452,lines:  distribution: world  article   joshua geller wrote:     really appreciate someone brought something like  back someone asked detail  josh  excuse me -not trying back out- josh maybe try informed responce trying pack reference packed  someone response like did no grin pegasus 
453,lines:     keith m ryan writes:  in article qjgq$  frank  o'dwyer writes:  is good logic better bad  good science better bad     definition    great - good - okay - bad - horrible       better        worse     good defined better bad  --- setup  subjective enough people agreed could switch order  defining unknown another  is good better bad bad worse good  circular  mac    sun start orbit earth accept bible            --                                                      michael a cobb  and raise tax middle     university illinois     class pay program                 champaign-urbana           -bill clinton debate                                                             new tax spending cut we'll still  billion dollar deficit 
454,x-added: forwarded space digest original-sender:  distribution: sci lines:   nick sez; i'm impressed old so-called prospecting work lpi almost geared towards industrially silly process moon excuse put astronaut there   []  fred replies; translation:  support nick szabo vision future must subscribe  tom sez; fred we're supporting u think done degree  problem nick think done address it instead complaining so  fred again; really get 'complaints' about you   [not incredibly clear explanation complaintssomething    feeling regarding nick's method judgment meaning]  maybe i'd get said complaint about rather doing thing complain about  trash people supposed read 'trashing people bad'  f gee funny get now then  deliberate obtuseness perhaps   fred's issue #;  nick's alleged trashing others   got stopped trashing made point patently instead 'allegorically'  point along fred  not do net honestly reporting idea on matter policy project space response baiting even part debate  i yet see nick enter anything remotely resembling a debate  see flame anyone anything disagrees one true szabo plan; see attacking people calling lazy bastard temerity disagree almight nick; see questioning people ethic temerity disagree lord god szabo  debate  bwaaaaahhhaaaa  i'm glad laugh since ratio debate/insult same  not even close tommy generally i'm dealing someone like nick  see dealing problem conflict interpretation least belief adequately judge debate  suffice disagree last point  take poll fred psuedo-objective point-of-view  and usual defend insult he started it  yeah took research called own started it  so stole car stole lawnmower first  besides that think still open interpretation whether nick actually start it defense besides lame contradicting first part sentence occurs may even apply anyway  defense reminds guy broke borrowed tool:  i never borrowed it already gave back broken gave me  yer mind fred  i'm convinced people necessary part every space- based process response reason think be except impune motif the person divergent opinion  who said think be tommy  show note said that i'll eat terminal    see below fred  fred cocluded did since took issue it  fact that conclusion incorrect ie taking issue something different evidence communication style confusing  or evidence reading comprehension style inadequate  first try address think meant rewarded denial sort smart remark  then point clear mean rather risking childish ire wrongly interpreting second time i'm stupid it  can't win i fred  got great point somewhere stupid people must insult jealous guarding valuable opinion never actually get around making it  please quote 'it' took issue with  believe see if you look taking issue mr szabo's idea that manned program scrapped time toaster-based infrastructure finished  hail szabo plan   fred issue #;  nick's alleged meaning   bad plan exists mind instead nick's really good point  instead provided good reason ignore insult since based incorrect interpretation made others  forgive giving insult meaning ever had  reading nick actually said people required part space process taking issue opinion regarding people space program read people required part space process  so help out here fred since i'm patently stupid  read nick wrong  eat terminal now  latter sure hope cheeto string model computer mag raving :-  point is i stupid your incorrect assumption  i'd stupid insulted made it  but ala that's job fred  and finally style confusing since tried two point simultaneously allegory/insult  sadly point addressed 'plan' existed mind took issue behavior much anyone  more deliberate lack understanding tommy  no no finally got it  like plan nick's post made imagine  like nick's obnoxious behavior even though worse own  taking time someone dense myself  if problem nick's delivery address that  bait perpetuating lack discourse complain of  no tommy 'bait' elicits response  nick 'baits'; flame obnoxious fool  i really care started it  read list get information and other's view issue dedicated your mom he started it  no did hear nick bad guy  think flaming bad stop flaming least get the point first post instead explaining time  that's nice tommy  pay post net complain getting money's worth  perhaps deliberately thick get point first time have waste time explaining [myself] time  course socrates  could otherwise  i think neat criticism started 'fatherly' admonition thing handled outside usenet somewhat rebuffed  little hypocritical tommy to go immaturity  pique netghod wannabe got turned someone thought new and hence could 'instructed' -- tommy saw net  care came net first  do consider saw brief haitus  year seen net first remember nick went exactly road regarding rude unneccesary behavior  amazing continue take issue behavior that's worse own  let's see here complaint obnoxious behavior hypocritical flame people decide flamers isn't complaint name-calling immature name-calling isn't  yeah right  maybe called name might see better fred  netghod wannabe  naturally fred correctly interpreted motivation impossible judge action a insulting people try prof  really care people fill net personal garbage really wanted impress everyone  put complaint behavior private mail belongs there thought jerk bring back net playing right hand ala idea intellectual master were turning table bringing history post net noble valuable purpose embarassing me  whether feel stupid tried suggestion superior intellect becuase tried communicate like adult self-righteous as still clear  well fred exposed me  i'll never able get another job nasa since i'm stupider fred mccall  well hope happy  leave alone now  heart attempt keeping far me  maybe nick pat approach high standard i'm dropping now  -tommy mac ------------------------------------------------------------------------- tom mcwilliams -- wk   \\ radius vision increase  - hm \\ circumference mystery grows ------------------------------------------------------------------------- 
455,lines:    david joslin writes:  someone writes: i found list biblical contradiction cleaned bit but i'd like help it  i'm curious purpose people think list serve  time  atheist spend much time paying attention bible anyway  face it better thing life  used chuckle snort silliness book absurdity people believing truth etc  spend little time mayan religion native american  heck native american signifigantly interesting myth  also egyptian  think pay much attention christianity accept religion mythology find accurate   try tolerant  get hard someone place book nose tell special  not  carolyn 
456,lines:  distribution: world keywords: tiff  sorry wasting time probably simple question i'm computer graphic expert read tiff-files pascal-program problem is file read compressed form   code  eg huffman  book & article found describe plain uncompressed format get original tiff specification furthermore access realy complete library anybody direct good book even better  specification available via ftp   advance - thomas wolf  ps: direct prefered  
457,lines:   last post referred michael adam nick  completely error; nick adam film tv actor ''s early ''s remember johnny yuma rebel  part country michael's email address nmsca[] probably helped confuse thing mind  purely user headspace error part  sorry  doug loss 
458,lines:   article rle$  frank o'dwyer writes: in article rqp$  eric rescorla writes: #in article rm$  frank o'dwyer writes: #in article qvu$  eric rescorla writes: ##if almost people agree sun exists in usual uncritical sense ##and almost people agree  deal bad  reasonable  ##conclusion sun really exist deal really bad ##i disagree completely rather recently people ##believe evolution possibility atom bomb popular ##opinion notoriously wrong matter fact #true nevertheless basis matter fact overwhelming #popular opinion overwhelming popular opinion is fact the #sun shine  so physic personal matter #assumed different u  yourgravity #mygravity theoretical framework encompass predict #both   #this simply complete nonsense basis 'matters fact' is #if class opinion majority informed popular opinion #for value informed really hate base knowledge #of instance qm overwhelming popular opinion is the basis eric people peering world saying they see  i'm talking uninterpreted fact - observation  people do those  agreement observation prerequisite theory that personal yes that's true clear exactly uninterpreted observation pretty low level stuff 'the sun shines' already lot higher level that agree 'i perceive brightness' perhaps  #now take experience good/evil every bit raw fact #experience pain vision #that might seem like good first pas guess turn #be pretty cruddy thing seem #have rather different opinion experience good #and evil seem able agree meter say you're comparing apple apple  meter we'll agree  we're situation that's we'll agree fundamental value all  people nobody agrees value extent agree trivial observation seem to unaware extent agreement either huh 'all situation' let's take dennis kriz example we're pretty different situation think agree whether day night think agree whether abortion morally acceptable yet certainly difference situation respect other look like weasel-words me frank   #i see evidence all #as point above i'm really interested much #what popular opinion is i'm prepared trust--to extent-- #the popular opinion direct matter physical observation #because large accord own however everyone #else said dial read  looked like  me #hope believe myself ie believing people #these matter seems reasonable probability predicting #what believe observed myself possibility exists #that not since observation others disagree #with good believe discount popular opinion #about 'good' beginning predictor opinion #i fact seems almost impossible get #people agree good really large number situation #is probably best evidence objective morality bogus actually firstly everyone else said dial  saw  i'd check my lens prescription that's you guess    secondly observation people disagree show nothing - people may looking different thing by virtue different situation  elephant i'll  see elephant  imply see elephant  look iguana 'different situations' stuff pretty confusing frank decide situation mind explaining      thirdly question assumption people disagree achieve fundamental secondary goal  they therefore fundamental goal that seems  disagreement refer to huh think so think people disagree fundamental goal  -ekr  --  eric rescorla                                                   buy used code man          
459,lines:   looking graphic image earth shot space   preferably -bit color  color gif's   anyways anyone know ftp site find these i'd greatly appreciate could pas information on  thanks    send email    ken huisman    
460,lines:   article     kevin shin writes:  trying obtain program preprocess handwriting character  like thining algorithm graph alogrithm  anyone obtain those  usually algorithm graphic image processing theodosios pavlidis people got idea   copy library stolen  another reference digital image processing gonzalez wintz/wood widely available little expensive $ here- checked today  
461,lines:  distribution: world keywords: jpl  article   ron baalke writes:      using model mar observer albee spent several minute describing project spacecraft's feature answer to question hawking chahine described proposed drag-free satellite confirmed point it's a concept chahine met hawking caltech five   bad  give tour cgro data  think he'd fascinated gamma ray burster  mind hawking might even propose mechanism   what's drag free satellite   coated wd-  carry aluminum-gold  set grateful dead album   inquiring mind know  mo  carry feature drag free  thought aero-braking possible mo  experimental activity  pat  
462,in-reply-to: 's message fri   :: edt x-news-reader: vms news  lines:     writes:        care fellow wrote anyway mean came psuvm could possibly importance    disperse smiley longer offended   --    disclaimer   it's great young insane 
463,lines:                                            divine master                              christian agree correctly so            jesus christ divine master projection god            physical world god incarnate                            important related fact            christian completely ignorant of follower            world religion                             first jesus christ unique john : notwith-           standing  always least divine master            god incarnate physically alive world time            continuous succession throughout history            life jesus                      follower master founded            world's major religion usually perverting teaching            master process  christian example added            threat eternal damnation hell deleted            teaching reincarnation                         secondly importantly particular            master physically dy leaf world            nothing anybody except relatively            people initiated still physically            alive  that simply god set thing            universe                                              therefore christian worship jesus            pray jesus expect jesus return save            sin kidding themselves allowed            duped religion mostly            manufactured roman                        emotional feeling totally deceiving            indicator religious validity                      thing similarly true follower            major world religion including islam                       thirdly primary function master tune            initiate audible life stream sound            current referred the word john :-            the river life revelation : personally            guide thru upper level heaven            still connected living physical body            silver cord                      true salvation completes soul's cycle            reincarnation physical psychic plane achieved            reaching least soul plane five            level universe physical universe            cannot done without help physically-living divine            master                      divine master alive today american sri            harold klemp living eck master mahanta            eckankar organization headquartered minneapolis            po box ;  zip                       another divine master maharaj gurinder singh ji            living punjab india associated sant            mat organization                        classic book the path            master radha soami book po box  gardena ca              written  dr julian johnson theologian            surgeon spent last year life india            studying closely observing sant mat master            time maharaj sawan singh ji                      several eckankar book including authored            sri paul twitchell sri harold klemp found            public university library book store            obtained thru inter-library loan  book eckankar--the            key secret world sri paul twitchell another            classic                      many christian likely confuse master            anti-christ temporary world            dictator so-called last day  master            ever rule even asked expected            jesus wa                      people continue following christianity islam            orthodox religion physically-dead master            continue cycle reincarnation            psychic plane miserable physical world            finally accept initiation physically-living divine            master                                 re-incarnation                           book here hereafter ruth montgomery            describes several kind evidence supporting reincarnation            fact life including hypnotic regression past            life [about % accurate; subconscious mind sometimes            make thing up especially bad hypnotist]            spontaneous recall especially young child            identify recent previous relative            home possession etc dream recall past life experi-           ences deja vu familiarity far land travel-           ing first time vacation psychic read-           ings late edgar cayce even supporting statement            baptist reincarnation elia john :- how            person possibly sin born unless lived            before  [ always king james version  later            version per-versions ]                            strong interest innate talent strong phobia etc            typically originate person's past life  example            strong fear swimming traveling water usually            result drowned previous life             sometimes person take immediate dislike            another person met first time life            bad encounter previous            incarnation                  teaching reincarnation also includes law            karma galatian : revelation : etc  people            behave much better toward knew            action present surely reaped            future future incarnation               nd coming                 divine master physically dy translates            particular initiate doe            initiate physically dy translates master meet            astral level take directly soul            plane  correct meaning            coming  individual experience something            happens everyone once  people still            waiting jesus' nd coming waiting vain                                       plane existence                 physical universe lowest least dozen            major level existence  physical plane            astral plane causal plane mental plane etheric            plane often counted upper part mental plane            soul plane several higher spiritual plane             soul plane first true heaven counting upward            physical  plane but including            physical soul plane called psychic plane                      likely esp telepathy astrological            influence radionic effect biological transmutation [see             book title] phenomenon without            apparent physical origin result interaction            psychic plane physical plane                      major plane also sub-divided  example            sub-plane astral plane called hades            christian hell occupies small part it created            le  year ago early catholic church            kind black magic simply teaching existence            threatening manner  christian heaven located            elsewhere astral plane  good christian go            short reincarnate back earth                                             sound current v blind faith                 christian religion demand follower            extraordinary amount blind faith backed little            good feeling which totally deceiving                         person hearing form sound            current the word the ban the audible life stream            cycle reincarnation miserable world            continue                      sound current manifest differently different            initiate sound like rushing wind ocean wave            sea shore buzzing bee higher-pitched buzzing sound            flute various heavenly music sound  eckankar            member start hearing near first year            member  experience such soul travel            replace blind faith                        information answer question etc            consult cited source  book  address                    un-altered reproduction dissemination            important information encouraged                                               robert e mcelwaine                                            initiate eckankar                                               but agent thereof            
464,disclaimer: posting represents poster's view ibm news-software: ureply  lines:    ferdinand oeinck writes: i'm looking information detecting and/or calculating double point and/or cusp bezier curve  see:    maureen stone tony derose    a geometric characterization parametric cubic curve    acm tog vol   july  pp -   ron capelli                 ibm corp  dept c  m p            po box      -              poughkeepsie ny     there answer cross reference 
465,lines:  distribution: world   article   chris herringshaw writes:  concerning proposed newsgroup split personally favor  this  learn awful lot aspect graphic reading  group code hardware algorithm  think making   different group wate result post  week per group  kind like convenience big forum  discussing aspect graphic  anyone else feel way  curious      daemon    agree you cause i'll try daemon :-  yeh usc 
466,x-newsreader: tin [version  pl] lines:   john w redelfs  wrote: :  : mormon  believe christ alive  raised : [text deleted] : : learned concept holy trinity never taught jesus : christ agreed to council clergyman long christ : ascended men authority speak him : jesus never taught concept trinity deal  following:        mat   jesus came said all authority heaven    earth me     mat   therefore go disciple nation baptizing    in¹ name father son holy spirit     mat   teaching obey everything commanded you    surely always age   also jesus speaking:     act   john baptized with¹ water day    baptized holy spirit  believe may overlooked key verse crucial christian faith   jim burrill  
467,lines:   article  mathew  writes:   voelkerding writes: in article   chris blask writes: add outrageous cost putting someone death special cell block year court cost extra guard benefit death penalty entirely disappear    that's earlier claim innocent death  override benefit others  obviously tragic   argument away death penalty  went  war worried accidentally killing civilian time  because determination enemy really imperfect  win war    yes  fortunately right-thinking folk like good self power  therefore deemed acceptable slaughter ten even hundred  thousand iraqi order liberate oil^h^h^hkuwait  war  hurrah hurrah  number civilian iraqi death over-exaggerated  exploited anti-war emotionalism liberal news medium  fact le iraqi died gulf war civilian  war comparable size century  due mostly short duration coupled precise surgical bombing technique technically possible recently  idea hundred thousand iraqi citizen died ludicrous  even hundred thousand iraqi soldier died one targeted  think u ally specifically kill maim iraqi civilian either smart bomb hit target and did targeting civilian target  hardly condusive destroying iraq's military potential  military mission planner fool hit military target win war hitting civilian target nothing unite people you laudable goal want people rise tyrant-dictator     ok innocent people died  yes maybe unarmed civilian fleeing  along road need bombed bit  perhaps kid half  face burned little girl mangled leg  entirely guilty  worth death innocent save  oil^h^h^hlives kuwaiti people it  all iraqi may  chance vote saddam showed acceptance  regime assassinating him right  surrendering  fleeing along open road devious ploy  entirely within  right bomb 'em case without finding  soldier  innocent people died blanket-bombing ww hear bemoaning them  war never exact science smart bomb becoming exact smaller percentage civilian casualty  sometimes mistake made; target misidentified; innocent die  that's war really is alternative allow tyrannical dictator treat earth like big rummage sale grabbing everything get worse  like patrick henry said  year ago i course others may take -- me give liberty give death  war always price must willing pay wish stay free        death penalty conceived deterrent crime  legal  shenanigan added automatic appeal lengthy court  battle etc relegated purpose small part  be  hence question is  instate death penalty  meant be see deters crime get rid  entirely    yes let's reinstate death penalty ought be  shit  fair trial court appeal get justice   let's give police absolute right gun guilty save  expense lawyer    think knock-on benefit too  la never spend  much money cleaning riot holding showcase trial cop  allowed job properly  quick bullet head  rodney king another cameraman everyone  saved great deal unnecessary paperwork expense    all police decide man's guilty ought enough   fact death penalty shown deterrent effect  imprisonment well that's entirely irrelevant      mathew  --   mathew sarcasm noted completely off-base here sounding like complete peace-nik idiot although feel sure intent  iraqi war wrong eh  i'm sure appeasement worked better war like ww eh  guess fought ww either -- think innocent german civilian killed dresden hamburg  poor  french died crossfire invaded continent   hitler take europe speaking german instead english right now  tyrant like hussein have stopped  kind understand diplomacy; understand point gun  regret bush wimped military roll baghdad hussein still power iraqi people's sacrifice not mention  american died naught  liberating kuwait  good thing wiping hussein map would've better  poor poor rodney king  ever stop think why jury first trial brought back verdict not guilty foaming mouth blood policeman certainly looked video tape jury looked all evidence evidence seen  make judgment without benefit trial evidence presented side simply lowered level vigilante justice state-of-mind sarcasm seemingly spoke against instead tends support case policeman    law country intended protect right accused whether criminal cop  found guilty reasonable doubt one's guilt jury position ass evidence render verdict  anyone else simply succumbing verbal vigilantism         regard  jim b 
468,lines:   searched u mich archive fairly thoroughly graphic package always thought mirror sumex-aimstanfordedu wrong i'll grafsys sound interesting  cheinan  bobc   
469,in-reply-to: 's message   :: gmt   lines:   article   mathemagician writes:     gay people straight people don't  absolutely nothing  i'm straightas arrow -year old male involved bsa  care gay people among other long pass anything  summer camp work bos gay 'pansy' gay i few 'one guys' push anything me give respect back due position  anything bsa taught me know tolerance something met guy thought gay 'faries'  so bsa taught antibigot  basically come this: among business else right otherwise unless violates someone else's civil right 
470,disclaimer: posting represents poster's view necessarily ibm lines:   reprint left chapter book vision              future  include reprint  chapter probably interest           reader forum including:                                                                                                                                  current technique development computer art franz szabo                                                                                              forging career sculptor career computer programmer          stewart dickson                                                                                                                                                 fractal genetics future h joel jeffrey                                                                                                         i'd happy send free reprint researcher scholarly              purpose reprint run out                                                                                                                             send name address                                                                                                                               thanks cliff                                                
471,x-newsreader: tin  pl lines:   regard fractal commpression seen  fractal compressed movie fairly impressive  first  gray scale movie casablanca mb  minute  fps video  little grainy bad all  second saw  minute  bit color fps measured mb  consider fractal movie practical explore  unlike many  format there losing resolution  kind software/hardware used creating movie saw guy showed said took - minute per frame generate  said playback  frame per second  else could put  minute floppy disk   opinion except shared others case  probably change mind 
472,lines:   article pfiuh$  pat writes:  if japanese really nuke go better technology have  opposed bwr/pwrs  really considered generation inherently safe design  japanese still learning curve far nuclear power go mean unlike german who great thing themselves japanese tie foreign company major mitsubishi who else sharing agreement ge think chance new design  sodium lot chemical problem really solves design difficulty  inherently safe type  sodium lot chemical problem like eats stainless steel slowly get end call desired property design difficulty sodium there bitch chemical property flwed though are mean get used two loop that's design problem isolation air water cause design problem comparison bwr's dream ride  pwr's work real good  need lot steel  highly complex system  simplicity virtue  get none liquid sodium breeder steel complexity  joseph askew  --  joseph askew gauche proud  autumn stillness see pleiades   remote thorny desert fell grief disclaimer sue see care  north tent sky must somwhere actually rather like brenda  beyond pale river murmur on 
473,lines:    brian ceccarelli /- writes: in article   brian kendig writes: i've asked god several time heart me  brian k pleased honesty  honest well believe asked god you  this  contradict religious beliefs; therefore feel comfortable simply accusing sincerity critically examine religious belief  --- merlyn leroy 
474,reply-to:  lines:   article qsami$  dick eney writes: the trouble trying find truth roehm buddy accused flaming faggot pretext night long knife roehm sa wing nsdap were purged   stop hold it problem here official history say  first accusation homosexuality sa came outside nazi  party long nazi ever came power objection red herring even established history wrong point moreover none  history i've read ever made mention hitler anyone else ever using  homosexuality pretext purging roehm point saw reiterated hitler party covered accusation accuse official history fabrication least get fact right pretext purging roehm planning sa coup hitler nowhere mention using allegation homosexuality pretext purge justification afterwards it possible history i've read mentioned this doubt - hitler's best interest admit world former right hand man homosexual   anyway said before always possible missed reference  nazi making charge homosexuality sa  night long knife - prove false even  nazi could truth advantage case  deal accusation homosexuality sa  's  since accuser thereafter controlled record anything bearing -- true -- considered tainted evidence   ah yes forgot posted altconspiracy smell paranoia here since nazi never officially charged roehm  homosexuality at least according i've read i'd like  tainted evidence talking about since accusation made  person outside nazi party long came power  accusation common knowledge journalist others germany  's 's possible nazi go back  time plant tainted evidence exactly doctor newspaper  circulated around world without discrepancy  obvious actual incidence nazi doctoring evidence matter about testimony people involved  matter nazi point making  false accusation homosexuality publicize it since point  seems discredit established history burden proof  fall revisionist revisionist better homework  making accusation otherwise simply like conspiracy nut  the available data suggest roehm crowd the sa -- sturmabteilung storm trooper -- left world better place departed   only agree on   suspect notion might bad people - roehm  sa buddy - homosexual must disturb people feeling seems nasty individual accused homosexuality must attempt bash homosexual fear - often justified - lie behind distrust official history seems me good justification trashing accepted account subject  really think historian incompetent write  ask got source subject can't  footnote i'm graduate student history writing professor tracking source old hat time limited specialty - neither anyone else said anything cast shred doubt existing evidence i'm waste time trying debunk someone's paranoia research yourself  but concrete particular still more le shrewd guess   -- diccon frankborn  already consider evidence tainted earth constitute concrete particular since concrete particular considered shrewd guess  suggest trust popular historian irving et al - historian writing popular audience not rule provide copious  footnote - try instead reading academic historian usually  provide footnote source immmense detail place  start looking assuming really want truth  i'll bet folk altpagan tired already apology - seem gone bit tangent forget god responsible keeping string within appropriate newsgroup boundary                                                                         /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/ david matthew deane  be eternal mood bleak windlet god speak softly u day hereafter ezra pound /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/ 
475,lines:   used information provided recent resource listing tried ftp to:  ccuauklandacnz []:  ftp/mac/architec - vision-d facet  received 'unknown host' message  paul d bourke  bounce basically problem  where'd go  rick     --  rick pavek                        never ask droid outdo program                 seattle wa                         waste time                                            annoys droid   
476,reply-to:  lines:   hi everyone ::   looking  software  called shadow  far     simple  raytracer  used  visualization   synchrotron   beam  line   old  version  program but unfortunately documentation anyone know    get   doc maybe   newer  version   program  even  another  program sort  love hear you  p think shadow written f cerrina  anyone idea  -gary- serc daresbury lab 
477,lines:   article qld$  writes: your posting provoked checking save file memorable post first captured ken arromdee  feb  subject re: atheist too article # here; question wa article # average  article day the last three year others noted current posting rate such kill file depressing large among posting saved early day article following notables:  from:  loren petrich from:  jesus christ nazareth from:  mark crispin from:  jim perry from:  james j lippard from:  marvin minsky  an interesting bunch wonder # is  hear  address changed  reached  following address:    think last seen posting altmessianic  jim -- god dead actor play part                     -- sting word fear find place heart  history without voice reason every faith curse        teach u without freedom past thing get worse         nothing 
478, zaphodmpsohio-stateeduwupostuunetoliveasgigateodinfidosolntzewpdsgicomlivesey   pfi$    pnd$  panf$ lines:   article   keith allan schneider writes:   jon livesey writes:    now along come mr keith schneider say here objective  moral system  start ask definition  that objective system depends on and predictably whole  thing fall apart    fall apart attempt apply it   objective system can't exist  mean cannot  implemented  fact can't exist bother me    fact seem able define it  wanted hear indefinable thing might principle exist long think carefully could ask religious person i  jon 
479,distribution: usa lines:   posting friend without internet access inquire phone number address listed ---------------------------------------------------------------------  space: teaching's newest frontier sponsored planetary study foundation  planetary study foundation sponsoring week class teacher called space: teaching's newest frontier class held sheraton suite elk grove illinois june  june  participant complete program earn two semester hour graduate credit aurora college note class intended teacher restricted teacher  class cosponsored united state space foundation teach space exploration teaching tool get student excited learning interested science  classroom topic covered class include:       living space       space shuttle       space station       nasa spinoffs benefit society       principle astrodynamics/aeronautics       solar system  also simulated zero-g training underwater space station simulation model rocket launch observing session harper college observatory field trip adler planetarium museum science industry  featured speaker include jerry brown colorado based united state space foundation debbie brown nasa lewis research center cleveland ohio additional instructor provided planetary study foundation  social highlight class dinner banquet featuring space shuttle payload specialist byron lichtenberg currently president payload system inc lichtenberg member crew sts- flew november  banquet scheduled thursday june   registration fee includes transportation field trip material continental breakfast lunch special dinner banquet guest ticket dinner banquet also available  additional charge receive two hour graduate credit additional information class contact science learning center  -  write to: planetary study foundation  w algonquin rd palatine il   ------------------------------------------------------------------------  dennis newkirk  motorola land mobile product sector schaumburg il 
480,lines:   
